id,client,compte,date,montant,typeOperation
64899a5dfc13ae2d2a9009ab,64899251fc13ae2cc7900ec3,64899668fc13ae29a0900c9b,02/03/2023,"€44669,92",Retrait
64899a5dfc13ae2d2a9009ac,64899252fc13ae2cc7900f45,64899667fc13ae29a0900a00,09/03/2018,"€20847,90",Prélèvement automatique
64899a5dfc13ae2d2a9009ad,64899252fc13ae2cc7901077,64899668fc13ae29a0900d6e,09/06/2020,"€4822,81",Prélèvement automatique
64899a5dfc13ae2d2a9009ae,64899251fc13ae2cc7900d7a,64899667fc13ae29a0900bed,18/04/2018,"€13934,21",chèque Virement
64899a5dfc13ae2d2a9009af,64899251fc13ae2cc7900e19,64899667fc13ae29a0900b4d,07/09/2020,"€22259,27",Prélèvement automatique
64899a5dfc13ae2d2a9009b0,64899252fc13ae2cc7901078,64899668fc13ae29a0900d22,18/10/2020,"€31486,10",Paiement par crte
64899a5dfc13ae2d2a9009b1,64899251fc13ae2cc7900e1b,64899667fc13ae29a0900bff,21/08/2022,"€5518,51",Dépot
64899a5dfc13ae2d2a9009b2,64899252fc13ae2cc7901033,64899667fc13ae29a0900c23,12/01/2022,"€37587,51",chèque Virement
64899a5dfc13ae2d2a9009b3,64899252fc13ae2cc7900f64,64899667fc13ae29a0900bc8,27/04/2019,"€9983,34",Prélèvement automatique
64899a5dfc13ae2d2a9009b4,64899252fc13ae2cc7900f92,64899667fc13ae29a0900bcf,18/04/2023,"€31801,82",Paiement par crte
64899a5dfc13ae2d2a9009b5,64899251fc13ae2cc7900e85,64899667fc13ae29a0900a2b,13/01/2019,"€9937,48",Retrait
64899a5dfc13ae2d2a9009b6,64899252fc13ae2cc7900f21,64899668fc13ae29a0900c8f,14/02/2020,"€24928,66",chèque Virement
64899a5dfc13ae2d2a9009b7,64899251fc13ae2cc7900e06,64899668fc13ae29a0900d48,27/07/2022,"€27844,41",Dépot
64899a5dfc13ae2d2a9009b8,64899251fc13ae2cc7900ecb,64899667fc13ae29a0900c01,23/01/2021,"€14863,87",Retrait
64899a5dfc13ae2d2a9009b9,64899252fc13ae2cc7900fa9,64899668fc13ae29a0900cbc,11/06/2020,"€10995,95",Retrait
64899a5dfc13ae2d2a9009ba,64899252fc13ae2cc7900f19,64899667fc13ae29a0900c11,22/04/2018,"€33303,22",Retrait
64899a5dfc13ae2d2a9009bb,64899252fc13ae2cc7900f5a,64899667fc13ae29a0900a7d,02/12/2015,"€29769,66",Dépot
64899a5dfc13ae2d2a9009bc,64899251fc13ae2cc7900dfc,64899668fc13ae29a0900c8b,21/04/2020,"€15413,24",Prélèvement automatique
64899a5dfc13ae2d2a9009bd,64899251fc13ae2cc7900e94,64899667fc13ae29a0900aa9,13/07/2016,"€35719,10",chèque Virement
64899a5dfc13ae2d2a9009be,64899252fc13ae2cc7900fe4,64899667fc13ae29a0900c4e,24/04/2020,"€17131,62",Prélèvement automatique
64899a5dfc13ae2d2a9009bf,64899251fc13ae2cc7900cf3,64899667fc13ae29a0900af0,07/08/2021,"€1619,63",chèque Virement
64899a5dfc13ae2d2a9009c0,64899252fc13ae2cc7901068,64899667fc13ae29a0900aa1,26/03/2020,"€13836,45",Dépot
64899a5dfc13ae2d2a9009c1,64899252fc13ae2cc7901071,64899667fc13ae29a0900b59,13/08/2018,"€35330,30",Dépot
64899a5dfc13ae2d2a9009c2,64899252fc13ae2cc7900f71,64899668fc13ae29a0900c66,13/02/2017,"€40135,00",Prélèvement automatique
64899a5dfc13ae2d2a9009c3,64899251fc13ae2cc7900e46,64899667fc13ae29a0900af3,20/07/2019,"€18081,55",Retrait
64899a5dfc13ae2d2a9009c4,64899251fc13ae2cc7900d0c,64899667fc13ae29a0900b9c,07/07/2020,"€24996,95",Retrait
64899a5dfc13ae2d2a9009c5,64899252fc13ae2cc7901031,64899667fc13ae29a0900a0d,04/01/2017,"€20532,43",Paiement par crte
64899a5dfc13ae2d2a9009c6,64899251fc13ae2cc7900d7a,64899667fc13ae29a0900a3e,28/03/2020,"€3693,78",Dépot
64899a5dfc13ae2d2a9009c7,64899252fc13ae2cc7900fd7,64899667fc13ae29a0900a5e,08/01/2021,"€3958,69",Prélèvement automatique
64899a5dfc13ae2d2a9009c8,64899251fc13ae2cc7900ce7,64899668fc13ae29a0900c7f,16/04/2023,"€3693,52",chèque Virement
64899a5dfc13ae2d2a9009c9,64899251fc13ae2cc7900d66,64899667fc13ae29a09009d6,11/12/2019,"€12638,18",chèque Virement
64899a5dfc13ae2d2a9009ca,64899251fc13ae2cc7900eb2,64899667fc13ae29a0900a6b,04/01/2017,"€27298,89",Retrait
64899a5dfc13ae2d2a9009cb,64899251fc13ae2cc7900ee2,64899667fc13ae29a0900a59,21/10/2021,"€19976,77",Paiement par crte
64899a5dfc13ae2d2a9009cc,64899251fc13ae2cc7900d72,64899667fc13ae29a0900a13,09/03/2017,"€18622,94",Retrait
